Scenario,Accuracy,AUC,F1 Score,Source
LabelFlipping_IsolationForest,0.7,0.706,0.796,With Defenses
LabelFlipping_IsolationForest,0.66,0.624,0.765,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
LabelFlipping_IsolationForest,0.7,0.706,0.796,With Defenses
LabelFlipping_IsolationForest,0.66,0.624,0.765,With Defenses
LabelFlipping_LOF,0.733,0.719,0.817,With Defenses
LabelFlipping_LOF,0.653,0.616,0.755,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
LabelFlipping_LOF,0.733,0.719,0.817,With Defenses
LabelFlipping_LOF,0.653,0.616,0.755,With Defenses
LabelFlipping_Autoencoder,0.727,0.706,0.813,With Defenses
LabelFlipping_Autoencoder,0.64,0.58,0.752,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
LabelFlipping_Autoencoder,0.727,0.706,0.813,With Defenses
LabelFlipping_Autoencoder,0.64,0.58,0.752,With Defenses
LabelFlipping_IsolationForest_Autoencoder,0.707,0.709,0.796,With Defenses
LabelFlipping_IsolationForest_Autoencoder,0.7,0.632,0.793,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
LabelFlipping_IsolationForest_Autoencoder,0.707,0.709,0.796,With Defenses
LabelFlipping_IsolationForest_Autoencoder,0.7,0.632,0.793,With Defenses
FeatureManipulation_IsolationForest,0.713,0.717,0.809,With Defenses
FeatureManipulation_IsolationForest,0.68,0.674,0.778,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
FeatureManipulation_IsolationForest,0.713,0.717,0.809,With Defenses
FeatureManipulation_IsolationForest,0.68,0.674,0.778,With Defenses
FeatureManipulation_LOF,0.727,0.721,0.816,With Defenses
FeatureManipulation_LOF,0.633,0.615,0.747,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
FeatureManipulation_LOF,0.727,0.721,0.816,With Defenses
FeatureManipulation_LOF,0.633,0.615,0.747,With Defenses
FeatureManipulation_Autoencoder,0.733,0.728,0.818,With Defenses
FeatureManipulation_Autoencoder,0.653,0.632,0.761,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
FeatureManipulation_Autoencoder,0.733,0.728,0.818,With Defenses
FeatureManipulation_Autoencoder,0.653,0.632,0.761,With Defenses
FeatureManipulation_IsolationForest_Autoencoder,0.7,0.717,0.8,With Defenses
FeatureManipulation_IsolationForest_Autoencoder,0.667,0.61,0.773,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
FeatureManipulation_IsolationForest_Autoencoder,0.7,0.717,0.8,With Defenses
FeatureManipulation_IsolationForest_Autoencoder,0.667,0.61,0.773,With Defenses
BackdoorAttack_IsolationForest,0.713,0.708,0.809,With Defenses
BackdoorAttack_IsolationForest,0.687,0.65,0.781,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
BackdoorAttack_IsolationForest,0.713,0.708,0.809,With Defenses
BackdoorAttack_IsolationForest,0.687,0.65,0.781,With Defenses
BackdoorAttack_LOF,0.72,0.725,0.814,With Defenses
BackdoorAttack_LOF,0.66,0.621,0.765,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
BackdoorAttack_LOF,0.72,0.725,0.814,With Defenses
BackdoorAttack_LOF,0.66,0.621,0.765,With Defenses
BackdoorAttack_Autoencoder,0.72,0.72,0.814,With Defenses
BackdoorAttack_Autoencoder,0.66,0.642,0.758,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
BackdoorAttack_Autoencoder,0.72,0.72,0.814,With Defenses
BackdoorAttack_Autoencoder,0.66,0.642,0.758,With Defenses
BackdoorAttack_IsolationForest_Autoencoder,0.707,0.713,0.805,With Defenses
BackdoorAttack_IsolationForest_Autoencoder,0.687,0.613,0.787,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
BackdoorAttack_IsolationForest_Autoencoder,0.707,0.713,0.805,With Defenses
BackdoorAttack_IsolationForest_Autoencoder,0.687,0.613,0.787,With Defenses
InjectionAttack_IsolationForest,0.707,0.71,0.805,With Defenses
InjectionAttack_IsolationForest,0.673,0.659,0.782,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
InjectionAttack_IsolationForest,0.707,0.71,0.805,With Defenses
InjectionAttack_IsolationForest,0.673,0.659,0.782,With Defenses
InjectionAttack_LOF,0.707,0.73,0.802,With Defenses
InjectionAttack_LOF,0.673,0.662,0.778,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
InjectionAttack_LOF,0.707,0.73,0.802,With Defenses
InjectionAttack_LOF,0.673,0.662,0.778,With Defenses
InjectionAttack_Autoencoder,0.707,0.724,0.802,With Defenses
InjectionAttack_Autoencoder,0.647,0.65,0.756,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
InjectionAttack_Autoencoder,0.707,0.724,0.802,With Defenses
InjectionAttack_Autoencoder,0.647,0.65,0.756,With Defenses
InjectionAttack_IsolationForest_Autoencoder,0.72,0.717,0.812,With Defenses
InjectionAttack_IsolationForest_Autoencoder,0.66,0.61,0.765,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
InjectionAttack_IsolationForest_Autoencoder,0.72,0.717,0.812,With Defenses
InjectionAttack_IsolationForest_Autoencoder,0.66,0.61,0.765,With Defenses
Clean,0.673,0.653,0.776,Original Results
Clean,0.647,0.64,0.753,Original Results
Clean,0.653,0.651,0.764,Original Results
Test,0.74,0.767,0.822,Original Results
Test,0.767,0.786,0.84,Original Results
Labelflipping,0.66,0.674,0.769,Original Results
Labelflipping,0.627,0.608,0.741,Original Results
Labelflipping,0.653,0.647,0.761,Original Results
Featuremanipulation,0.687,0.672,0.787,Original Results
Featuremanipulation,0.653,0.661,0.757,Original Results
Featuremanipulation,0.673,0.671,0.774,Original Results
Backdoorattack,0.66,0.682,0.773,Original Results
Backdoorattack,0.68,0.635,0.78,Original Results
Backdoorattack,0.687,0.669,0.785,Original Results
Injectionattack,0.667,0.69,0.773,Original Results
Injectionattack,0.633,0.653,0.749,Original Results
Injectionattack,0.66,0.672,0.769,Original Results
Labelflipping Test,0.76,0.767,0.836,Original Results
Labelflipping Test,0.727,0.744,0.809,Original Results
Labelflipping Test,0.76,0.764,0.838,Original Results
Featuremanipulation Test,0.747,0.768,0.827,Original Results
Featuremanipulation Test,0.733,0.794,0.817,Original Results
Featuremanipulation Test,0.76,0.785,0.836,Original Results
Backdoorattack Test,0.753,0.773,0.833,Original Results
Backdoorattack Test,0.773,0.804,0.843,Original Results
Backdoorattack Test,0.767,0.798,0.84,Original Results
Injectionattack Test,0.733,0.763,0.818,Original Results
Injectionattack Test,0.727,0.792,0.809,Original Results
Injectionattack Test,0.76,0.785,0.835,Original Results
